Product ID	Product Name	Product Description	Product Page URL	Product Image URL	Product Brand	Product Category	UPC - Universal Product Code	Manufacturer Part Number	Original Price	Sale Price	Condition	Operating System	Processor Type	Processor Speed	Processor Number	Memory Size	Hard Drive Size	Warranty	Optical Drive	Graphics Memory	Graphics Chipset	adwords_queryparam	adwords_prefer_for_query	Shipping Cost	Product Type	Additional Images	c:druse:boolean	Screen Size
493367	Toshiba DVR620 DVD Recorder		http://www.toshibadirect.com/td/b2c/adet.to?poid=493367	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/dvr620.gif	Toshiba	Electronics	022265002223	DVR620	179.99	179.99	New											adId=GooglePlusBox	Electronics	19.99	RTS	/images/products/dvdrecorder-dr620-600-01.jpg,/images/products/dvdrecorder-dr620-600-02.jpg,/images/products/dvdrecorder-dr620-600-03.jpg,/images/products/dvdrecorder-dr620-600-04.jpg,/images/products/dvdrecorder-dr620-600-05.jpg	false	
501176	NB505-N508OR	NB505-N508OR	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501176	http://www.toshibadirect.com/images/products/100/miniNB505-N50xOR-netbook.gif	Toshiba	Notebook PCs	883974682942	PLL50U-01700C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	RTS	/images/products/miniNB505-N50xOR-600-01.jpg,/images/products/miniNB505-N50xOR-600-02.jpg,/images/products/miniNB505-N50xOR-600-03.jpg,/images/products/miniNB505-N50xOR-600-04.jpg,/images/products/miniNB505-N50xOR-600-05.jpg,/images/products/miniNB505-N50xOR-600-06.jpg,/images/products/miniNB505-N50xOR-600-07.jpg,/images/products/miniNB505-N50xOR-600-08.jpg,/images/products/miniNB505-N50xOR-600-09.jpg,/images/products/miniNB505-N50xOR-600-10.jpg,/images/products/miniNB505-N50xOR-600-11.jpg,/images/products/miniNB505-N50xOR-600-12.jpg,/images/products/miniNB505-N50xOR-600-13.jpg	true	10.1
501177	NB505-N508TQ	NB505-N508TQ	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501177	http://www.toshibadirect.com/images/products/100/miniNB505-N50xTQ-netbook.gif	Toshiba	Notebook PCs	883974682959	PLL50U-01800C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	RTS	/images/products/miniNB505-N50xTQ-600-01.jpg,/images/products/miniNB505-N50xTQ-600-02.jpg,/images/products/miniNB505-N50xTQ-600-03.jpg,/images/products/miniNB505-N50xTQ-600-04.jpg,/images/products/miniNB505-N50xTQ-600-05.jpg,/images/products/miniNB505-N50xTQ-600-06.jpg,/images/products/miniNB505-N50xTQ-600-07.jpg,/images/products/miniNB505-N50xTQ-600-08.jpg,/images/products/miniNB505-N50xTQ-600-09.jpg,/images/products/miniNB505-N50xTQ-600-10.jpg,/images/products/miniNB505-N50xTQ-600-11.jpg,/images/products/miniNB505-N50xTQ-600-12.jpg,/images/products/miniNB505-N50xTQ-600-13.jpg	true	10.1
501174	NB505-N508BL	NB505-N508BL	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501174	http://www.toshibadirect.com/images/products/100/miniNB505-N50xBL-netbook.gif	Toshiba	Notebook PCs	883974683024	PLL50U-01R00C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	SKU	/images/products/miniNB505-N50xBL-600-01.jpg,/images/products/miniNB505-N50xBL-600-02.jpg,/images/products/miniNB505-N50xBL-600-03.jpg,/images/products/miniNB505-N50xBL-600-04.jpg,/images/products/miniNB505-N50xBL-600-05.jpg,/images/products/miniNB505-N50xBL-600-06.jpg,/images/products/miniNB505-N50xBL-600-07.jpg,/images/products/miniNB505-N50xBL-600-08.jpg,/images/products/miniNB505-N50xBL-600-09.jpg,/images/products/miniNB505-N50xBL-600-10.jpg,/images/products/miniNB505-N50xBL-600-11.jpg,/images/products/miniNB505-N50xBL-600-12.jpg,/images/products/miniNB505-N50xBL-600-13.jpg,/images/products/miniNB505-N50xBL-600-14.jpg	true	10.1
501173	NB505-N508GN	NB505-N508GN	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501173	http://www.toshibadirect.com/images/products/100/miniNB505-N50xGN-netbook.gif	Toshiba	Notebook PCs	883974682911	PLL50U-01C00C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	SKU	/images/products/miniNB505-N50xGN-600-01.jpg,/images/products/miniNB505-N50xGN-600-02.jpg,/images/products/miniNB505-N50xGN-600-03.jpg,/images/products/miniNB505-N50xGN-600-04.jpg,/images/products/miniNB505-N50xGN-600-05.jpg,/images/products/miniNB505-N50xGN-600-06.jpg,/images/products/miniNB505-N50xGN-600-07.jpg,/images/products/miniNB505-N50xGN-600-08.jpg,/images/products/miniNB505-N50xGN-600-09.jpg,/images/products/miniNB505-N50xGN-600-10.jpg,/images/products/miniNB505-N50xGN-600-11.jpg,/images/products/miniNB505-N50xGN-600-12.jpg	true	10.1
501178	NB505-N508BN	NB505-N508BN	http://www.toshibadirect.com/td/b2c/pdet.to?poid=501178	http://www.toshibadirect.com/images/products/100/miniNB505-N50xBN-netbook.gif	Toshiba	Notebook PCs	883974682935	PLL50U-01900C	269.99	269.99	New	<a href='http://www.toshibadirect.com/td/b2c/toshibadirect.to?page=genuineWindows' title='The Windows Genuine Advantage - Toshiba' target='_blank'>Genuine</a> Windows 7 Starter (32-bit)	Intel&reg; Atom&#153;	1.66GHz	N455	1GB	250GB		<I><B>Sold Separately:</B></I> Toshiba USB Portable DVD SuperMulti Drive	0MB-250MB dynamically allocated shared graphics memory		adId=GooglePlusBox	Laptops	19.99	RTS	/images/products/miniNB505-N50xBN-600-01.jpg,/images/products/miniNB505-N50xBN-600-02.jpg,/images/products/miniNB505-N50xBN-600-03.jpg,/images/products/miniNB505-N50xBN-600-04.jpg,/images/products/miniNB505-N50xBN-600-05.jpg,/images/products/miniNB505-N50xBN-600-06.jpg,/images/products/miniNB505-N50xBN-600-07.jpg,/images/products/miniNB505-N50xBN-600-08.jpg,/images/products/miniNB505-N50xBN-600-09.jpg,/images/products/miniNB505-N50xBN-600-10.jpg,/images/products/miniNB505-N50xBN-600-11.jpg,/images/products/miniNB505-N50xBN-600-12.jpg,/images/products/miniNB505-N50xBN-600-13.jpg	true	10.1
509056	Toshiba BDX2200 Blu-ray Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=509056	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/bdx2200.gif	Toshiba	Electronics	022265004586	BDX2200	99.99	99.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/bluray-bdx2200-600-01.jpg,/images/products/bluray-bdx2200-600-02.jpg	false	
509057	Toshiba BDX4200 Blu-ray Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=509057	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/bdx4200.gif	Toshiba	Electronics	022265004593	BDX4200	129.99	129.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/bluray-bdx4200-600-01.jpg,/images/products/bluray-bdx4200-600-02.jpg	false	
509058	Toshiba BDX5200 Blu-ray Player		http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=509058	http://www.toshibadirect.com/images/products/100/blu-ray-dvd/bdx5200.gif	Toshiba	Electronics	022265004609	BDX5200	179.99	149.99	New											adId=GooglePlusBox	Electronics	19.99	SKU	/images/products/bluray-bdx5200-600-01.jpg,/images/products/bluray-bdx5200-600-02.jpg	false	
503429	Toshiba Camileo S20-B HD Camcorder	Visit Toshiba Direct for a Toshiba Camileo S20 HD Camcorder	http://www.toshibadirect.com/td/b2c/electronics-detail.to?poid=503429	http://www.toshibadirect.com/images/ui3/accessories/to_pa3792u_100.jpg	Toshiba	Electronics	883974697007	PA3792U-1BAM	129.99	79.99	New											adId=GooglePlusBox	Electronics	19.99	RTS	/images/products/Camileo_S20_1.jpg,/images/products/Camileo_S20_2.jpg,/images/products/Camileo_S20_3.jpg,/images/products/Camileo_S20_5.jpg	false	
